hand_category,hand,tries,win,draw
15,3,1000,20.8,0.0
15,4,1000,22.6,0.0
16,1,1000,24.099999999999998,0.0
16,2,1000,21.2,0.0
16,3,1000,22.400000000000002,0.0
16,4,1000,22.1,0.0
17,1,1000,20.4,14.299999999999999
17,2,1000,23.7,8.6
17,3,1000,19.7,12.2
18,1,1000,32.300000000000004,10.9
18,2,1000,36.5,10.299999999999999
18,3,1000,31.7,12.5
19,1,1000,42.3,13.0
19,2,1000,44.2,11.3
20,1,1000,56.00000000000001,34.5
20,2,1000,58.3,30.8
21,1,1000,90.4,9.6
12,1,1000,23.200000000000003,0.0
12,2,1000,19.7,0.0
12,3,1000,21.8,0.0
12,4,1000,20.3,0.0
12,5,1000,22.6,0.0
12,6,1000,21.9,0.0
13,1,1000,22.1,0.0
13,2,1000,20.5,0.0
13,3,1000,21.7,0.0
13,4,1000,21.4,0.0
13,5,1000,19.6,0.0
14,1,1000,22.8,0.0
14,2,1000,22.5,0.0
14,3,1000,21.3,0.0
14,4,1000,21.5,0.0
14,5,1000,22.900000000000002,0.0
15,1,1000,21.2,0.0
15,2,1000,21.3,0.0
15,3,1000,18.6,0.0
15,4,1000,22.900000000000002,0.0
16,1,1000,23.200000000000003,0.0
16,2,1000,22.1,0.0
16,3,1000,22.400000000000002,0.0
16,4,1000,23.3,0.0
17,1,1000,20.7,12.0
17,2,1000,24.5,9.5
17,3,1000,21.7,10.7
18,1,1000,32.4,12.6
18,2,1000,34.4,10.0
18,3,1000,33.1,12.1
19,1,1000,43.4,12.4
19,2,1000,45.7,10.5
20,1,1000,56.10000000000001,33.5
20,2,1000,57.099999999999994,30.099999999999998
21,1,1000,90.2,9.8
12,1,1000,25.4,0.0
12,2,1000,20.8,0.0
12,3,1000,22.8,0.0
12,4,1000,20.0,0.0
12,5,1000,23.400000000000002,0.0
12,6,1000,19.400000000000002,0.0
13,1,1000,21.9,0.0
13,2,1000,20.7,0.0
13,3,1000,23.3,0.0
13,4,1000,22.1,0.0
13,5,1000,23.599999999999998,0.0
14,1,1000,22.8,0.0
14,2,1000,21.2,0.0
14,3,1000,22.900000000000002,0.0
14,4,1000,22.3,0.0
14,5,1000,23.1,0.0
15,1,1000,24.2,0.0
15,2,1000,20.200000000000003,0.0
15,3,1000,20.7,0.0
15,4,1000,22.2,0.0
16,1,1000,22.3,0.0
16,2,1000,19.3,0.0
16,3,1000,23.7,0.0
16,4,1000,21.2,0.0
17,1,1000,23.1,12.4
17,2,1000,23.7,11.3
17,3,1000,22.1,13.4
18,1,1000,32.300000000000004,12.7
18,2,1000,32.300000000000004,12.1
18,3,1000,34.4,11.200000000000001
19,1,1000,44.0,10.5
19,2,1000,46.0,10.0
20,1,1000,55.800000000000004,34.8
20,2,1000,58.699999999999996,29.2
21,1,1000,90.2,9.8
12,1,1000,22.900000000000002,0.0
12,2,1000,20.3,0.0
12,3,1000,21.5,0.0
12,4,1000,20.3,0.0
12,5,1000,20.4,0.0
12,6,1000,18.7,0.0
13,1,1000,20.599999999999998,0.0
13,2,1000,20.4,0.0
13,3,1000,21.9,0.0
